frame,t,t_local,mean,mean_norm,std,p05,p95,motion
4873,162.4333,2.4333,0.097185,0.723649,0.103424,0.007843,0.333333,0.002677
4874,162.4667,2.4667,0.097756,0.736720,0.103747,0.007843,0.333333,0.001046
4875,162.5000,2.5000,0.098245,0.747932,0.104222,0.007843,0.333333,0.001021
4876,162.5333,2.5333,0.099071,0.766827,0.104861,0.007843,0.337255,0.001985
4877,162.5667,2.5667,0.099993,0.787944,0.105792,0.007843,0.337255,0.003108
4878,162.6000,2.6000,0.100593,0.801701,0.106222,0.007843,0.341176,0.000995
4879,162.6333,2.6333,0.101151,0.814472,0.106761,0.007843,0.341176,0.001000
4880,162.6667,2.6667,0.101797,0.829255,0.107602,0.007843,0.341176,0.002390
4881,162.7000,2.7000,0.102981,0.856373,0.108885,0.007843,0.345098,0.002822
4882,162.7333,2.7333,0.103759,0.874193,0.109448,0.007843,0.345098,0.001249
4883,162.7667,2.7667,0.104395,0.888760,0.110121,0.007843,0.345098,0.001215
4884,162.8000,2.8000,0.104986,0.902297,0.110839,0.007843,0.345098,0.002068
4885,162.8333,2.8333,0.106118,0.928217,0.112531,0.007843,0.349020,0.003618
4886,162.8667,2.8667,0.106632,0.939980,0.112973,0.007843,0.349020,0.000911
4887,162.9000,2.9000,0.107160,0.952077,0.113605,0.007843,0.352941,0.001013
4888,162.9333,2.9333,0.107899,0.968995,0.114868,0.007843,0.352941,0.002928
4889,162.9667,2.9667,0.109253,1.000000,0.116240,0.007843,0.356863,0.002937
